name,_pac,_sho,_pas,_dri,_def,_phy,_ovr,skills,wf,positions,playstyle_plus,playstyles,att_wr,def_wr
Kylian Mbappé,97,90,80,92,36,78,91,5,4,"ST,LW,CF",QUICK STEP,"TRIVELA,RAPID,FLAIR",High,Low
Alexia Putellas,82,90,91,92,72,78,91,5,5,"CM,LW",FIRST TOUCH,"TECHNICAL,PINGED PASS,INCISIVE PASS,FINESSE SHOT,FLAIR,TIKI TAKA",High,Medium
Erling Haaland,89,93,66,80,45,88,91,3,3,"ST,CF",ACROBATIC,"POWER HEADER,QUICK STEP",High,Medium
Kevin De Bruyne,72,88,94,87,65,78,91,4,5,"CM,CAM",INCISIVE PASS,"TRIVELA,PINGED PASS,WHIPPED PASS,LONG BALL PASS,DEAD BALL",High,Medium
Aitana Bonmatí,81,84,83,91,75,73,90,4,5,CM,TECHNICAL,"RELENTLESS,FIRST TOUCH,PINGED PASS,INCISIVE PASS,FINESSE SHOT,TIKI TAKA",High,High
Lionel Messi,80,87,90,94,33,64,90,4,4,"CF,CAM,ST",TECHNICAL,"QUICK STEP,TRIVELA,INCISIVE PASS,FINESSE SHOT,TIKI TAKA,DEAD BALL",Low,Low
Sam Kerr,85,88,74,90,42,85,90,4,4,"ST,CF",POWER HEADER,"AERIAL,QUICK STEP,ACROBATIC,FINESSE SHOT,RAPID",High,High
Karim Benzema,79,88,83,87,39,78,90,4,4,"CF,ST",FINESSE SHOT,"RELENTLESS,FIRST TOUCH,TRIVELA,INCISIVE PASS,TIKI TAKA,DEAD BALL",Medium,Medium
Harry Kane,69,93,84,83,49,83,90,3,5,"ST,CF",INCISIVE PASS,"TRIVELA,LONG BALL PASS,FIRST TOUCH",High,High
Caroline Graham Hansen,89,86,88,90,47,75,90,5,4,"RM,RW",TRICKSTER,"TECHNICAL,QUICK STEP,FIRST TOUCH,TRIVELA,FLAIR,FINESSE SHOT",High,Medium
Robert Lewandowski,75,91,80,87,44,84,90,4,4,"ST,CF",POWER HEADER,"CHIP SHOT,FIRST TOUCH,POWER SHOT,TRIVELA,INCISIVE PASS,FINESSE SHOT",High,Medium
Mohamed Salah,89,87,81,88,45,76,89,4,3,"RM,RW",FINESSE SHOT,"TRIVELA,CHIP SHOT,RAPID",High,Medium
Kadidiatou Diani,89,85,83,88,56,77,89,4,4,"RM,RW,ST",None,"TRIVELA,TECHNICAL,QUICK STEP,FLAIR",High,High
Mapi León,75,74,81,76,90,81,89,2,3,CB,ANTICIPATE,"INTERCEPT,JOCKEY,SLIDE TACKLE,LONG BALL PASS,BLOCK,FINESSE SHOT",High,High
Rúben Dias,62,39,66,69,89,87,89,2,4,CB,BRUISER,"POWER HEADER,AERIAL,BLOCK",Medium,High
